"","x"
"1","rps27l"
"2","kcnn4"
"3","gadd45ab"
"4","gadd45aa"
"5","csf1b"
"6","csf1a"
"7","paqr7b"
"8","pclob"
"9","pcloa"
"10","tab3"
"11","plxnb2b"
"12","plxnb2a"
"13","plxnb2a"
"14","si:ch211-127b11.1"
"15","il1fma"
"16","il1b"
"17","abtb2b"
"18","abtb2a"
"19","btg2"
"20","fosl1b"
"21","fosl1a"
"22","mdm2"
"23","nkain4"
"24","unc5b"
"25","cel.2"
"26","cel.1"
"27","susd6"
"28","sars"
"29","iscub"
"30","ISCU (1 of many)"
"31","lrp1aa"
"32","lrp1ab"
"33","ei24"
"34","rgl1"
"35","hes2.1"
"36","hes2.2"
"37","ywhaqb"
"38","ywhaqa"
"39","atf3"
"40","gbe1a"
"41","gbe1b"
"42","tmem68"
"43","spata18"
"44","baxa"
"45","baxa"
"46","kitlga"
"47","kitlgb"
"48","dgkab"
"49","dgkaa"
"50","hsd17b3"
"51","trim32"
"52","ier5"
"53","im:7138535"
"54","rps19"
"55","plekhf1"
"56","plk3"
"57","ebi3"
"58","smek1"
"59","WDR63"
"60","enc1"
"61","pard6ga"
"62","pard6gb"
"63","ccdc90b"
"64","nupr1b"
"65","CABZ01077555.1"
"66","prkab1a"
"67","prkab1b"
"68","stx6"
"69","pou5f3"
"70","pou3f1"
"71","zgc:158291"
"72","scn3b"
"73","ascc3"
"74","ptp4a1"
"75","slc12a4"
"76","FQ377903.3"
"77","tm7sf3"
"78","cpeb4a"
"79","chst14"
"80","bbs2"
"81","mhc1zaa"
"82","mhc1zba"
"83","mhc1zka"
"84","mhc1zja"
"85","mhc1zfa"
"86","mhc1zea"
"87","mhc1zca"
"88","ntpcr"
"89","s100s"
"90","s100a10a"
"91","s100t"
"92","rgs8"
"93","plk2b"
"94","plk2a"
"95","nadsyn1"
"96","lmna"
"97","perp"
"98","mknk2b"
"99","mknk2a"
"100","cdkn1a"
"101","tsga10"
"102","hhat"
"103","myo6a"
"104","myo6b"
"105","mettl8"
"106","dusp7"
"107","lrrc15"
"108","dyrk3"
"109","CABZ01070631.1"
"110","sdc4"
"111","micall1a"
"112","micall1b.2"
"113","flrt2"
"114","flrt2"
"115","plcxd2"
"116","mylkb"
"117","mylka"
"118","ccng1"
"119","abhd4"
"120","sema3b"
"121","tgfa"
"122","slc9a1b"
"123","CABZ01088428.1"
"124","ppfibp1a"
"125","ppfibp1b"
"126","sesn1"
"127","casp6l2"
"128","casp6"
"129","casp6l1"
"130","mfap3l"
"131","stk17a"
"132","cers5"
"133","rabggta"
"134","sytl1"
"135","gls2b"
"136","gls2a"
"137","e2f7"
"138","dock8"
"139","vdrb"
"140","vdra"
"141","slc44a5a"
"142","slc44a5b"
"143","phpt1"
"144","notch1a"
"145","notch1b"
"146","capn8"
"147","RALGDS"
"148","CABZ01083448.1"
"149","rnf19b"
"150","FP885542.1"
"151","tp53i11b"
"152","tp53i11a"
"153","slc30a1b"
"154","slc30a1a"
"155","csnk1g1"
"156","smad3a"
"157","smad3b"
"158","slc4a11"
"159","scrib"
"160","sulf2b"
"161","khnyn"
"162","akap9"
"163","aifm2"
"164","cmbl"
"165","cyfip2"
"166","ppm1db"
"167","ppm1da"
"168","dusp11"
"169","snx2"
"170","limk2"
"171","tmem63ba"
"172","pstpip2"
"173","zmat3"
"174","pgpep1"
"175","rexo1"
"176","zgc:152968"
"177","scn4ba"
"178","scn4bb"
"179","tp53"
"180","bcl2l1"
"181","scin"
"182","tp53inp1"
"183","prkx"
"184","steap3"
"185","btg1"
"186","cpsf4"
"187","fuca1.2"
"188","fuca1.1"
"189","eml2"
"190","cldn1"
"191","BX649608.2"
"192","fcho2"
"193","ppm1nb"
"194","ppm1na"
"195","ppm1j"
"196","ppm1h"
"197","rnf144b"
"198","fbxo32"
"199","zgc:113921"
"200","CABZ01080550.1"
"201","muc2.2"
"202","cd82b"
"203","cd82a"
"204","grhl3"
"205","ak3"
"206","lacc1"
"207","plcl2"
"208","ankra2"
"209","cav1"
"210","mcc"
"211","tspan11"
"212","uqcc1"
"213","si:dkey-84j12.1"
"214","TMEM8B"
"215","CABZ01079241.1"
"216","zfx"
"217","arvcfb"
"218","arvcfa"
"219","p3h2"
"220","btbd10b"
"221","btbd10a"
"222","polh"
"223","rev3l"
"224","trak1a"
"225","prdm1a"
"226","dram1"
"227","dcp1b"
"228","bloc1s2"
"229","ptprub"
"230","myofl"
"231","myof"
"232","pcbp4"
"233","socs1b"
"234","socs4"
"235","alox5a"
"236","si:dkey-219c10.4"
"237","pde11al"
"238","si:ch1073-184j22.2"
"239","si:ch211-195b15.8"
"240","CABZ01097761.1"
"241","pank2"
"242","znf385a"
"243","edn2"
"244","pltp"
"245","apaf1"
"246","fam210b"
"247","sesn2"
"248","trip6"
"249","eps8l2"
"250","eps8b"
"251","anxa4"
"252","si:zfos-452g4.1"
"253","rap2b"
"254","fbxw7"
"255","phlda3"
"256","si:ch211-160o17.2"
"257","FO704822.1"
"258","hrasb"
"259","hrasa"
"260","ddr1"
"261","znf516"
"262","xpc"
"263","fam84b"
"264","zgc:110182"
"265","blcap"
"266","plxnb1b"
"267","plxnb1a"
"268","tsku"
"269","cpe"
"270","cpeb2"
"271","cpeb4b"
"272","dapk1"
"273","crot"
"274","fdxr"
"275","efnb1"
"276","tnfrsf1b"
"277","tnfrsfa"
"278","hdr"
"279","nradd"
"280","cd40"
"281","tnfrsf11a"
"282","nlgn3b"
"283","ces2"
"284","ces3"
"285","si:ch73-89b15.3"
"286","si:dkey-30c15.17"
"287","nlgn2b"
"288","si:ch211-71n6.4"
"289","tcaim"
"290","ksr1a"
"291","ksr1b"
"292","tp73"
"293","bhlhe40"
"294","tnfrsf1b"
"295","tnfrsfa"
"296","hdr"
"297","nradd"
"298","cd40"
"299","tnfrsf11a"
"300","lpxn"
"301","stat3"
"302","gpc1b"
"303","gpc1a"
"304","fam49a"
"305","TP53I3"
"306","rgma"
"307","NINJ1"
"308","acer2"
"309","klhdc7a"
"310","rrm2b"
"311","zgc:174259"
"312","serpina7"
"313","si:ch211-186e20.2"
"314","si:ch211-186e20.7"
"315","serpinh2"
"316","tnfrsf1b"
"317","tnfrsfa"
"318","hdr"
"319","nradd"
"320","cd40"
"321","tnfrsf11a"
"322","dusp5"
"323","serpine1"
"324","tex9"
"325","fam198b"
"326","cyp4t8"
"327","cyp4f3"
"328","cobll1a"
"329","cobll1b"
"330","mlf2"
"331","mon2"
"332","ptprea"
"333","ptpreb"
"334","vcana"
"335","vcanb"
"336","pcna"
"337","igfbp7"
"338","borcs7"
"339","igdcc4"
"340","pllp"
"341","btg3"
"342","traf4a"
"343","lrpap1"
"344","ptafr"
"345","clp1"
"346","acyp2"
"347","rrad"
"348","ppp1r3ca"
"349","ppp1r3cb"
"350","epn3b"
"351","epn3a"
"352","arhgef3"
"353","RETSAT"
"354","retsat"
"355","dhrs3b"
"356","dhrs3a"
"357","neflb"
"358","fhl2b"
"359","fhl2a"
"360","ciita"
"361","si:ch211-108d22.2"
"362","scn4ab"
"363","her6"
"364","gpx9"
"365","hspa4l"
"366","rbm38"
"367","itga3a"
"368","itga3b"
"369","bmp7b"
"370","bcl6aa"
"371","tnfrsf1b"
"372","tnfrsfa"
"373","hdr"
"374","nradd"
"375","cd40"
"376","tnfrsf11a"
"377","tet2"
"378","ddit4"
"379","pank1a"
"380","pank1b"
"381","cflara"
"382","cflarb"
"383","rgs20"
"384","fbxo22"
"385","cdip1"
"386","rad51c"
"387","ddb2"
"388","abca12"
"389","pidd1"
"390","aldh1a3"
"391","etv7"
"392","enpp2"
"393","rnd3b"
"394","rnd3a"
"395","MRPL49"
"396","ypel3"
"397","pgap1"
"398","gnai3"
"399","prodha"
"400","prodhb"
